order_id,order_date,month,month_name,year,quarter,day_of_week,customer_id,customer_name,gender,age_group,area,city,loyalty_member,store_name,store_id,product_name,category,unit_price_pkr,quantity,discount_pct,discount_amount_pkr,sales_pkr,profit_pkr,profit_margin_pct,payment_method,delivery_type
ORD001000,2025-07-04,7,July,2025,Q3,Friday,CUST0001,Ahmed Baig,Male,26-35,DHA Phase 5,Karachi,No,Imtiaz Sharafabad,ST006,Samosa 4pcs,Bakery,103,4,0,0,412,81,19.7,Cash,In-Store
ORD001000,2025-07-04,7,July,2025,Q3,Friday,CUST0001,Ahmed Baig,Male,26-35,DHA Phase 5,Karachi,No,Imtiaz Sharafabad,ST006,Cheddar Cheese 200g,Dairy,489,4,0,0,1956,476,24.3,Debit Card,In-Store
ORD001000,2025-07-04,7,July,2025,Q3,Friday,CUST0001,Ahmed Baig,Male,26-35,DHA Phase 5,Karachi,No,Imtiaz Sharafabad,ST006,Football size 4,Toys & Sports,793,3,0,0,2379,493,20.7,EasyPaisa,In-Store
ORD001000,2025-07-04,7,July,2025,Q3,Friday,CUST0001,Ahmed Baig,Male,26-35,DHA Phase 5,Karachi,No,Imtiaz Sharafabad,ST006,ORS Sachet 6pcs,Pharmacy & Health,86,3,0,0,258,28,10.9,JazzCash,In-Store
ORD001001,2026-03-15,3,March,2026,Q1,Sunday,CUST0001,Ahmed Baig,Male,26-35,DHA Phase 5,Karachi,No,Imtiaz Nazimabad,ST002,Ponds Face Wash 100g,Personal Care,381,4,0,0,1524,245,16.1,Cash,In-Store
ORD001001,2026-03-15,3,March,2026,Q1,Sunday,CUST0001,Ahmed Baig,Male,26-35,DHA Phase 5,Karachi,No,Imtiaz Nazimabad,ST002,Capsicum 1kg,Fruits & Vegetables,142,1,0,0,142,29,20.4,EasyPaisa,In-Store
ORD001001,2026-03-15,3,March,2026,Q1,Sunday,CUST0001,Ahmed Baig,Male,26-35,DHA Phase 5,Karachi,No,Imtiaz Nazimabad,ST002,Naan 4pcs,Bakery,65,4,0,0,260,41,15.8,Cash,Home Delivery
ORD001001,2026-03-15,3,March,2026,Q1,Sunday,CUST0001,Ahmed Baig,Male,26-35,DHA Phase 5,Karachi,No,Imtiaz Nazimabad,ST002,Gillette Razor 2pcs,Personal Care,362,3,5,54,1032,185,17.9,Cash,In-Store
ORD001002,2025-10-15,10,October,2025,Q4,Wednesday,CUST0001,Ahmed Baig,Male,26-35,DHA Phase 5,Karachi,No,Imtiaz Sharafabad,ST006,Chicken Boneless 1kg,Meat & Seafood,856,3,0,0,2568,582,22.7,Credit Card,In-Store
ORD001002,2025-10-15,10,October,2025,Q4,Wednesday,CUST0001,Ahmed Baig,Male,26-35,DHA Phase 5,Karachi,No,Imtiaz Sharafabad,ST006,Fair & Lovely 50g,Personal Care,205,2,0,0,410,96,23.4,JazzCash,Home Delivery
