customer_key,customer_id,customer_name,gender,age_group,area,city,loyalty_member,customer_segment
1,CUST0001,Ahmed Baig,Male,26-35,DHA Phase 5,Karachi,No,Low Value
2,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Mid Value
3,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Mid Value
4,CUST0004,Lubna Baig,Female,26-35,Bahadurabad,Karachi,Yes,Low Value
5,CUST0005,Kamran Hussain,Male,18-25,Nazimabad,Karachi,Yes,High Value
6,CUST0006,Mehwish Baig,Female,56+,Bahadurabad,Karachi,Yes,Low Value
7,CUST0007,Zainab Raza,Female,56+,Clifton,Karachi,No,Mid Value
8,CUST0008,Ali Ahmed,Male,26-35,PECHS,Karachi,Yes,High Value
9,CUST0009,Adnan Baig,Male,56+,North Nazimabad,Karachi,Yes,High Value
10,CUST0010,Rabia Baig,Female,56+,Tariq Road,Karachi,No,High Value
11,CUST0011,Bilal Chaudhry,Male,26-35,Sharafabad,Karachi,No,Mid Value
12,CUST0012,Ayesha Ansari,Female,36-45,Bahadurabad,Karachi,Yes,High Value
13,CUST0013,Naveed Hussain,Male,56+,DHA Phase 5,Karachi,No,High Value
14,CUST0014,Hina Baig,Female,26-35,DHA Phase 1,Karachi,No,Mid Value
15,CUST0015,Lubna Rizvi,Female,26-35,Gulshan-e-Iqbal,Karachi,Yes,High Value
16,CUST0016,Muhammad Sheikh,Male,56+,DHA Phase 1,Karachi,No,High Value
17,CUST0017,Adnan Rizvi,Male,46-55,Awami Markaz,Karachi,No,High Value
18,CUST0018,Hassan Raza,Male,56+,Clifton,Karachi,Yes,Mid Value
19,CUST0019,Nadia Chaudhry,Female,56+,Bahadurabad,Karachi,Yes,Mid Value
20,CUST0020,Tariq Akhtar,Male,26-35,Awami Markaz,Karachi,Yes,Low Value
21,CUST0021,Rizwan Hussain,Male,18-25,North Nazimabad,Karachi,Yes,Mid Value
22,CUST0022,Muhammad Ansari,Male,18-25,Awami Markaz,Karachi,Yes,High Value
23,CUST0023,Usman Butt,Male,26-35,Malir,Karachi,No,Mid Value
24,CUST0024,Rabia Raza,Female,56+,Tariq Road,Karachi,Yes,High Value
25,CUST0025,Bushra Akhtar,Female,18-25,North Nazimabad,Karachi,Yes,Mid Value
26,CUST0026,Fatima Javed,Female,26-35,Malir,Karachi,Yes,Low Value
27,CUST0027,Muhammad Ansari,Male,18-25,Nazimabad,Karachi,No,Mid Value
